No,Link
139,https://finance.detik.com/berita-ekonomi-bisnis/d-5080865/kapal-feri-jkt-sby-kembali-dibuka-catat-jadwalnya?pk_vid=b9277c572f02caa9175799672746444d
140,https://news.detik.com/berita/d-5054754/kapal-feri-kandas-di-padang-bai-belum-bisa-dievakuasi-ini-langkah-tim-sar?pk_vid=b9277c572f02caa9175799673446444d
141,https://news.detik.com/berita/d-5052033/seluruh-penumpang-kapal-feri-yang-kandas-di-padang-bai-selamat?pk_vid=b9277c572f02caa9175799674646444d
142,https://news.detik.com/berita/d-5052012/video-kapal-feri-kandas-di-padang-bai-evakuasi-penumpang-dramatis?pk_vid=b9277c572f02caa9175799675246444d
143,https://20.detik.com/detikflash/20200613-200613024/detik-detik-kapal-feri-kandas-di-bali?pk_vid=b9277c572f02caa9175799675946444d
144,https://finance.detik.com/berita-ekonomi-bisnis/d-5036811/begini-skenario-new-normal-penumpang-di-kapal-feri?pk_vid=b9277c572f02caa9175799676646444d
145,https://finance.detik.com/infrastruktur/d-4990128/boleh-menyeberang-lewat-pelabuhan-merak-tapi-ada-syaratnya?pk_vid=b9277c572f02caa9175799677046444d
146,https://news.detik.com/berita/d-4982688/kapal-feri-kandas-di-merak-penumpang-bertahan-10-jam-di-kapal-tunggu-evakuasi?pk_vid=b9277c572f02caa9175799677546444d
147,https://finance.detik.com/berita-ekonomi-bisnis/d-4981550/catat-mulai-mei-tiket-feri-hanya-dijual-online?pk_vid=b9277c572f02caa9175799678546444d
148,https://finance.detik.com/berita-ekonomi-bisnis/d-4980482/mulai-1-mei-tiket-kapal-penyeberangan-cuma-bisa-dibeli-online?pk_vid=b9277c572f02caa9175799678946444d
149,https://finance.detik.com/berita-ekonomi-bisnis/d-4967013/penyesuaian-tarif-kapal-feri-belum-diputuskan?pk_vid=b9277c572f02caa9175799679846444d
150,https://finance.detik.com/berita-ekonomi-bisnis/d-4943782/cegah-corona-antrean-di-pelabuhan-penyeberangan-dikurangi?pk_vid=b9277c572f02caa9175799683146444d
151,https://travel.detik.com/dtravelers_stories/u-4936861/ini-bedanya-dermaga-kapal-feri-eksekutif-dengan-reguler?pk_vid=b9277c572f02caa9175799684546444d
152,https://travel.detik.com/dtravelers_stories/u-4936847/menjajal-mewahnya-kapal-feri-eksekutif-merak-bakauheni?pk_vid=b9277c572f02caa9175799685246444d
153,https://news.detik.com/berita-jawa-timur/d-4936299/cegah-corona-penumpang-kapal-ini-diberi-hand-sanitizer-dan-jamu?pk_vid=b9277c572f02caa9175799685846444d
154,https://20.detik.com/e-flash/20191226-191226023/kapal-di-selat-bali-adakan-lomba-dan-atraksi-sulap-di-atas-kapal?pk_vid=b9277c572f02caa9175799686746444d
155,https://news.detik.com/internasional/d-4759691/pria-muda-nekat-lompat-dari-kapal-patroli-pantai-as-lakukan-pencarian?pk_vid=b9277c572f02caa9175799687346444d
156,https://news.detik.com/berita/d-4737829/penumpang-feri-nekat-loncat-ke-laut-karena-cekcok-ditemukan-selamat?pk_vid=b9277c572f02caa9175799687846444d
157,https://news.detik.com/berita/d-4737082/penumpang-feri-di-lombok-loncat-saat-kapal-berlayar-di-tengah-laut?pk_vid=b9277c572f02caa9175799688846444d
158,https://finance.detik.com/berita-ekonomi-bisnis/d-4569953/mudik-naik-feri-dapat-diskon-10-ini-jadwalnya?pk_vid=b9277c572f02caa9175799689346444d
159,https://finance.detik.com/infrastruktur/d-4559067/tiket-pesawat-mahal-kapal-ferry-ketiban-untung?pk_vid=b9277c572f02caa9175799690146444d
160,https://finance.detik.com/berita-ekonomi-bisnis/d-4556627/naik-kapal-eksekutif-merak-bakauheni-berapa-tarifnya?pk_vid=b9277c572f02caa9175799690646444d
161,https://finance.detik.com/berita-ekonomi-bisnis/d-4556580/naik-kapal-feri-eksekutif-merak-bakauheni-cuma-satu-jam?pk_vid=b9277c572f02caa9175799691746444d
162,https://finance.detik.com/berita-ekonomi-bisnis/d-4556551/mudik-ke-sumatera-sebelum-naik-feri-bisa-mampir-ke-mal?pk_vid=b9277c572f02caa9175799692246444d
163,https://finance.detik.com/berita-ekonomi-bisnis/d-4542776/ada-tol-trans-sumatera-penumpang-pelabuhan-merak-diprediksi-naik-15?pk_vid=b9277c572f02caa9175799692746444d
164,https://travel.detik.com/dtravelers_stories/u-4188645/serunya-perjalanan-menuju-taman-nasional-komodo?pk_vid=b9277c572f02caa9175799693646444d
165,https://travel.detik.com/fototravel/d-4246413/potret-120-tahun-perjalanan-kapal-feri-hong-kong?pk_vid=b9277c572f02caa9175799694146444d
166,https://travel.detik.com/international-destination/d-4243264/cerita-kapal-feri-yang-120-tahun-melayani-hong-kong?pk_vid=b9277c572f02caa9175799695046444d
167,https://news.detik.com/internasional/d-4239475/kapal-feri-yang-angkut-335-orang-terbakar-di-laut-baltik?pk_vid=b9277c572f02caa9175799696446444d
168,https://news.detik.com/foto-news/d-4223915/kelebihan-muatan-kapal-feri-tenggelam-di-tanzania?pk_vid=b9277c572f02caa9175799696946444d
169,https://finance.detik.com/berita-ekonomi-bisnis/d-4163748/beli-tiket-feri-bisa-pakai-uang-elektronik?pk_vid=b9277c572f02caa9175799697446444d
170,https://travel.detik.com/travel-news/d-8113395/kapal-feri-berhenti-operasi-ratusan-turis-terdampar-di-pulau-semalaman?pk_vid=c370aa36641b1014175798204646444d
171,https://www.detik.com/sulsel/berita/d-8109112/jadwal-kapal-feri-rute-selayar-bira-sabtu-13-september-2025-cek-di-sini
172,https://finance.detik.com/berita-ekonomi-bisnis/d-8102731/layanan-kapal-feri-jarak-jauh-bikin-distribusi-bahan-pokok-makin-merata?pk_vid=c370aa36641b1014175798205846444d
173,https://finance.detik.com/berita-ekonomi-bisnis/d-8098501/asdp-sebut-pembelian-tiket-online-pangkas-antrean-penyeberangan-kapal?pk_vid=c370aa36641b1014175798206646444d
174,https://www.detik.com/sulsel/berita/d-8087921/jadwal-kapal-feri-rute-selayar-bira-minggu-31-agustus-2025-cek-di-sini
175,https://finance.detik.com/berita-ekonomi-bisnis/d-8085410/1-3-juta-kendaraan-nyeberang-naik-kapal-feri-di-19-lintasan-hingga-juli?pk_vid=c370aa36641b1014175798207646444d
176,https://www.detik.com/sulsel/berita/d-8051849/jadwal-kapal-feri-rute-selayar-bira-sabtu-9-agustus-2025-cek-di-sini
177,https://www.detik.com/bali/bisnis/d-8050654/asdp-lembar-siagakan-13-kapal-feri-antisipasi-lonjakan-turis-asing-ke-bali
178,https://finance.detik.com/foto-bisnis/d-8046078/melihat-kesibukan-pelabuhan-oakland-di-california?pk_vid=c370aa36641b1014175798209446444d
179,https://www.detik.com/sulsel/berita/d-8041992/jadwal-kapal-feri-rute-selayar-bira-minggu-3-agustus-2025-cek-di-sini
